Sample	Target.Peptide	Glycoform	Monoisotopic.Mass	Number.of.Charge.States	RT.Range	Sum.Intensity	Rel.Abundance_ann
Output_file_@IgM_site1	IgM_site1	N1@single-GlcNAc_(Gn)	1487.69937663	2	6.204-8.106	51244.36	4.18554962294666
Output_file_@IgM_site1	IgM_site1	NA	1510.67447663	1	6.204-8.106	3607.9	NA
Output_file_@IgM_site1	IgM_site1	NA	1526.64057663	1	6.204-8.106	1493.94	NA
Output_file_@IgM_site1	IgM_site1	NA	1531.67647663	1	6.204-8.106	996.96	NA
Output_file_@IgM_site1	IgM_site1	NA	1896.76737663	1	6.204-8.106	4888.57	NA
Output_file_@IgM_site1	IgM_site1	NA	1908.74367663	1	6.204-8.106	802.01	NA
Output_file_@IgM_site1	IgM_site1	H2N2@MU_	2014.88047663	1	6.204-8.106	17646.2	1.44131072680859
Output_file_@IgM_site1	IgM_site1	NA	2099.84227663	3	6.204-8.106	66327.82	NA
Output_file_@IgM_site1	IgM_site1	NA	2114.85327663	1	6.204-8.106	1074.85	NA
Output_file_@IgM_site1	IgM_site1	NA	2121.82827663	1	6.204-8.106	3190.37	NA
Output_file_@IgM_site1	IgM_site1	NA	2131.83667663	1	6.204-8.106	4201.15	NA
Output_file_@IgM_site1	IgM_site1	NA	2137.79237663	1	6.204-8.106	1518.39	NA
Output_file_@IgM_site1	IgM_site1	NA	2143.82607663	1	6.204-8.106	1030.67	NA
Output_file_@IgM_site1	IgM_site1	NA	2160.93857663	1	6.204-8.106	2179.53	NA
Output_file_@IgM_site1	IgM_site1	H3N2@MM_	2176.93577663	2	6.204-8.106	20575.22	1.68054795323904
Output_file_@IgM_site1	IgM_site1	NA	2217.95647663	1	6.204-8.106	2894.36	NA
Output_file_@IgM_site1	IgM_site1	NA	2274.91257663	1	6.204-8.106	700.35	NA
Output_file_@IgM_site1	IgM_site1	H3N2F@MMF_	2322.98977663	1	6.204-8.106	2561.61	0.20922782077162
Output_file_@IgM_site1	IgM_site1	H2N3F@GnUF	2364.01237663	1	6.204-8.106	2403.01	0.196273650396591
Output_file_@IgM_site1	IgM_site1	H3N3@GnM_	2380.01277663	3	6.204-8.106	598301.22	48.8681963396464
Output_file_@IgM_site1	IgM_site1	NA	2396.00387663	1	6.204-8.106	7737.18	NA
Output_file_@IgM_site1	IgM_site1	NA	2401.99297663	1	6.204-8.106	38361.3	NA
Output_file_@IgM_site1	IgM_site1	NA	2412.00117663	2	6.204-8.106	26863.68	NA
Output_file_@IgM_site1	IgM_site1	NA	2417.96267663	2	6.204-8.106	26604.7	NA
Output_file_@IgM_site1	IgM_site1	NA	2423.98967663	2	6.204-8.106	19329.51	NA
